skmodel,average_probs,std_probs,train_sr_all,train_sr_0,train_sr_1,train_air_1,pred_sr_all,pred_sr_0,pred_sr_1,pred_air_1,accuracy,bal_accuracy,gt_accuracy,gt_bal_accuracy,gt_sr_0,gt_sr_1,gt_sr_all,accuracy_p0,accuracy_p1,gt_accuracy_p0,gt_accuracy_p1,gt_train_cm_all,gt_train_cm_p0,gt_train_cm_p1,cm_p0,cm_p1,cm_p0_gt,cm_p1_gt,experiment_name,dataset_name,study,timestamp,sample_size,class_sep,flip_percentage,cm_p0_gt_tn,cm_p0_gt_fp,cm_p0_gt_fn,cm_p0_gt_tp,cm_p1_gt_tn,cm_p1_gt_fp,cm_p1_gt_fn,cm_p1_gt_tp,cm_p0_tn,cm_p0_fp,cm_p0_fn,cm_p0_tp,cm_p1_tn,cm_p1_fp,cm_p1_fn,cm_p1_tp,gt_train_cm_all_tn,gt_train_cm_all_fp,gt_train_cm_all_fn,gt_train_cm_all_tp,gt_train_cm_p0_tn,gt_train_cm_p0_fp,gt_train_cm_p0_fn,gt_train_cm_p0_tp,gt_train_cm_p1_tn,gt_train_cm_p1_fp,gt_train_cm_p1_fn,gt_train_cm_p1_tp,data_group,train_spd_1,train_eod_1,pred_spd_p1,pred_eod_p1,fair_index
XGBClassifier,0.7853999733924866,0.1592999994754791,0.5,,0.5,,0.32,0.3679,0.1417,0.3853,0.7016666666666667,0.6557581424341592,0.6833333333333333,0.6407520575624661,0.3742,0.2283,0.3433,0.6529718277599633,0.4536252354048964,0.6529718277599633,0.5198803659394793,"[[1813    0]
 [  99 1912]]",[],"[[1360    0]
 [   0 1360]]","[[442 150]
 [156 198]]","[[201  35]
 [ 17   1]]","[[442 150]
 [156 198]]","[[170  26]
 [ 48  10]]",fair_oversample,sample_4000_sep_2_flipped_0.7.csv,study_adult,2025-09-21T11:23:54.652553,4000,2.0,0.7,442,150,156,198,170,26,48,10,442,150,156,198,201.0,35.0,17.0,1.0,1813,0,99,1912,,,,,1360,0,0,1360,2.0,,-0.5037664783427495,-0.2262,-0.5037664783427495,-0.36498323917137476
RandomForestClassifier,0.7546,0.1482,0.5,,0.5,,0.2617,0.3214,0.0394,0.1225,0.7233333333333334,0.6565867222801529,0.6941666666666667,0.6345102509175251,0.3848,0.2165,0.3492,0.6407235376307541,0.4791666666666667,0.6407235376307541,0.5096847875742347,"[[1820    0]
 [ 118 1938]]",[],"[[1370    0]
 [   0 1370]]","[[458 124]
 [184 180]]","[[230  10]
 [ 14   0]]","[[458 124]
 [184 180]]","[[192   7]
 [ 52   3]]",fair_oversample,sample_4000_sep_2_flipped_0.8.csv,study_adult,2025-09-21T11:23:54.889252,4000,2.0,0.8,458,124,184,180,192,7,52,3,458,124,184,180,230.0,10.0,14.0,0.0,1820,0,118,1938,,,,,1370,0,0,1370,2.0,,-0.4945054945054945,-0.28200000000000003,-0.4945054945054945,-0.3882527472527473
LogisticRegression,0.5694,0.0729,0.5,,0.5,,0.2067,0.1998,0.2323,1.1626,0.6566666666666666,0.5557679681767274,0.6391666666666667,0.5557513010368569,0.3848,0.2165,0.3492,0.567600354971489,0.5282738095238095,0.567600354971489,0.5142074006395614,"[[1820    0]
 [ 118 1938]]",[],"[[1370    0]
 [   0 1370]]","[[496  86]
 [261 103]]","[[185  55]
 [ 10   4]]","[[496  86]
 [261 103]]","[[154  45]
 [ 41  14]]",fair_oversample,sample_4000_sep_2_flipped_0.8.csv,study_adult,2025-09-21T11:23:54.987762,4000,2.0,0.8,496,86,261,103,154,45,41,14,496,86,261,103,185.0,55.0,10.0,4.0,1820,0,118,1938,,,,,1370,0,0,1370,2.0,,0.0027472527472527375,0.0325,0.0027472527472527375,0.01762362637362637
SVC,0.5203,0.0257,0.5,,0.5,,0.1083,0.1173,0.0748,0.6375,0.66,0.5174757656509481,0.6308333333333334,0.5139500487411341,0.3848,0.2165,0.3492,0.5162758203995318,0.4604166666666666,0.5162758203995318,0.4870717222476016,"[[1820    0]
 [ 118 1938]]",[],"[[1370    0]
 [   0 1370]]","[[521  61]
 [314  50]]","[[221  19]
 [ 14   0]]","[[521  61]
 [314  50]]","[[183  16]
 [ 52   3]]",fair_oversample,sample_4000_sep_2_flipped_0.8.csv,study_adult,2025-09-21T11:23:55.310311,4000,2.0,0.8,521,61,314,50,183,16,52,3,521,61,314,50,221.0,19.0,14.0,0.0,1820,0,118,1938,,,,,1370,0,0,1370,2.0,,-0.13736263736263737,-0.042499999999999996,-0.13736263736263737,-0.08993131868131868
LinearDiscriminantAnalysis,0.6499,0.1137,0.5,,0.5,,0.3642,0.3932,0.2559,0.6508,0.6675,0.6358378712393311,0.6583333333333333,0.6291059439736706,0.3848,0.2165,0.3492,0.6336571504097277,0.5535714285714286,0.6336571504097277,0.5687528551850161,"[[1820    0]
 [ 118 1938]]",[],"[[1370    0]
 [   0 1370]]","[[413 169]
 [161 203]]","[[180  60]
 [  9   5]]","[[413 169]
 [161 203]]","[[154  45]
 [ 35  20]]",fair_oversample,sample_4000_sep_2_flipped_0.8.csv,study_adult,2025-09-21T11:23:55.389831,4000,2.0,0.8,413,169,161,203,154,45,35,20,413,169,161,203,180.0,60.0,9.0,5.0,1820,0,118,1938,,,,,1370,0,0,1370,2.0,,-0.20054945054945056,-0.13729999999999998,-0.20054945054945056,-0.16892472527472527
GradientBoostingClassifier,0.6668,0.1327,0.5,,0.5,,0.3317,0.3816,0.1457,0.3817,0.7216666666666667,0.6846638087514,0.7091666666666666,0.6742426788982976,0.3848,0.2165,0.3492,0.6765983157735735,0.5363095238095238,0.6765983157735735,0.592690726359068,"[[1820    0]
 [ 118 1938]]",[],"[[1370    0]
 [   0 1370]]","[[439 143]
 [146 218]]","[[206  34]
 [ 11   3]]","[[439 143]
 [146 218]]","[[178  21]
 [ 39  16]]",fair_oversample,sample_4000_sep_2_flipped_0.8.csv,study_adult,2025-09-21T11:23:56.376207,4000,2.0,0.8,439,143,146,218,178,21,39,16,439,143,146,218,206.0,34.0,11.0,3.0,1820,0,118,1938,,,,,1370,0,0,1370,2.0,,-0.3846153846153846,-0.2359,-0.3846153846153846,-0.3102576923076923
MLPClassifier,1.0,0.0,0.5,,0.5,,1.0,1.0,1.0,1.0,0.315,0.5,0.3491666666666667,0.5,0.3848,0.2165,0.3492,0.5,0.5,0.5,0.5,"[[1820    0]
 [ 118 1938]]",[],"[[1370    0]
 [   0 1370]]","[[  0 582]
 [  0 364]]","[[  0 240]
 [  0  14]]","[[  0 582]
 [  0 364]]","[[  0 199]
 [  0  55]]",fair_oversample,sample_4000_sep_2_flipped_0.8.csv,study_adult,2025-09-21T11:23:57.701961,4000,2.0,0.8,0,582,0,364,0,199,0,55,0,582,0,364,0.0,240.0,0.0,14.0,1820,0,118,1938,,,,,1370,0,0,1370,2.0,,0.0,0.0,0.0,0.0
KNeighborsClassifier,0.7435,0.1545,0.5,,0.5,,0.3517,0.3372,0.4055,1.2026,0.5683333333333334,0.5155833622986907,0.5708333333333333,0.5286976796775446,0.3848,0.2165,0.3492,0.529596691967826,0.4744047619047619,0.529596691967826,0.5544997715851987,"[[1820    0]
 [ 118 1938]]",[],"[[1370    0]
 [   0 1370]]","[[399 183]
 [228 136]]","[[142  98]
 [  9   5]]","[[399 183]
 [228 136]]","[[123  76]
 [ 28  27]]",fair_oversample,sample_4000_sep_2_flipped_0.8.csv,study_adult,2025-09-21T11:23:57.771966,4000,2.0,0.8,399,183,228,136,123,76,28,27,399,183,228,136,142.0,98.0,9.0,5.0,1820,0,118,1938,,,,,1370,0,0,1370,2.0,,-0.01648351648351648,0.06830000000000003,-0.01648351648351648,0.025908241758241773
QuadraticDiscriminantAnalysis,0.9987,0.0219,0.5,,0.5,,0.0042,0.0053,0.0,0.0,0.6891666666666667,0.5066137566137566,0.655,0.5059665871121718,0.3848,0.2165,0.3492,0.5068681318681318,0.5,0.5068681318681318,0.5,"[[1820    0]
 [ 118 1938]]",[],"[[1370    0]
 [   0 1370]]","[[582   0]
 [359   5]]","[[240   0]
 [ 14   0]]","[[582   0]
 [359   5]]","[[199   0]
 [ 55   0]]",fair_oversample,sample_4000_sep_2_flipped_0.8.csv,study_adult,2025-09-21T11:23:57.873482,4000,2.0,0.8,582,0,359,5,199,0,55,0,582,0,359,5,240.0,0.0,14.0,0.0,1820,0,118,1938,,,,,1370,0,0,1370,2.0,,-0.013736263736263736,-0.0053,-0.013736263736263736,-0.009518131868131868
GaussianNB,0.8212,0.0884,0.5,,0.5,,0.1875,0.185,0.1969,1.0641,0.6741666666666667,0.567827211987796,0.6583333333333333,0.5704760129446673,0.3848,0.2165,0.3492,0.5773951134775877,0.5470238095238096,0.5773951134775877,0.548423937871174,"[[1820    0]
 [ 118 1938]]",[],"[[1370    0]
 [   0 1370]]","[[509  73]
 [262 102]]","[[194  46]
 [ 10   4]]","[[509  73]
 [262 102]]","[[164  35]
 [ 40  15]]",fair_oversample,sample_4000_sep_2_flipped_0.8.csv,study_adult,2025-09-21T11:23:57.925907,4000,2.0,0.8,509,73,262,102,164,35,40,15,509,73,262,102,194.0,46.0,10.0,4.0,1820,0,118,1938,,,,,1370,0,0,1370,2.0,,0.005494505494505475,0.011899999999999994,0.005494505494505475,0.008697252747252734
XGBClassifier,0.8039000034332275,0.1588999927043914,0.5,,0.5,,0.2917,0.352,0.0669,0.1901,0.7333333333333333,0.681033483953192,0.7058333333333333,0.6573009329572576,0.3848,0.2165,0.3492,0.6626968392432311,0.5779761904761904,0.6626968392432311,0.5385107354956601,"[[1820    0]
 [ 118 1938]]",[],"[[1370    0]
 [   0 1370]]","[[450 132]
 [163 201]]","[[226  14]
 [ 11   3]]","[[450 132]
 [163 201]]","[[189  10]
 [ 48   7]]",fair_oversample,sample_4000_sep_2_flipped_0.8.csv,study_adult,2025-09-21T11:23:58.237466,4000,2.0,0.8,450,132,163,201,189,10,48,7,450,132,163,201,226.0,14.0,11.0,3.0,1820,0,118,1938,,,,,1370,0,0,1370,2.0,,-0.33791208791208793,-0.28509999999999996,-0.33791208791208793,-0.311506043956044
RandomForestClassifier,0.7598,0.1437,0.5,,0.5,,0.265,0.3288,0.0276,0.0838,0.7533333333333333,0.6906867948264339,0.7191666666666666,0.661129767885062,0.3795,0.2047,0.3425,0.6682911551584232,0.5592828224407171,0.6682911551584232,0.518945163747144,"[[1812    0]
 [ 134 1946]]",[],"[[1365    0]
 [   0 1365]]","[[469 118]
 [166 193]]","[[241   6]
 [  6   1]]","[[469 118]
 [166 193]]","[[198   4]
 [ 49   3]]",fair_oversample,sample_4000_sep_2_flipped_0.9.csv,study_adult,2025-09-21T11:23:58.464500,4000,2.0,0.9,469,118,166,193,198,4,49,3,469,118,166,193,241.0,6.0,6.0,1.0,1812,0,134,1946,,,,,1365,0,0,1365,2.0,,-0.3947473139673697,-0.30119999999999997,-0.3947473139673697,-0.3479736569836848
LogisticRegression,0.5718,0.0656,0.5,,0.5,,0.3192,0.2791,0.4685,1.6788,0.6058333333333333,0.5416420961591383,0.605,0.553329077738614,0.3795,0.2047,0.3425,0.573652441715346,0.6263736263736264,0.573652441715346,0.5318926123381569,"[[1812    0]
 [ 134 1946]]",[],"[[1365    0]
 [   0 1365]]","[[456 131]
 [226 133]]","[[133 114]
 [  2   5]]","[[456 131]
 [226 133]]","[[110  92]
 [ 25  27]]",fair_oversample,sample_4000_sep_2_flipped_0.9.csv,study_adult,2025-09-21T11:23:58.558010,4000,2.0,0.9,456,131,226,133,110,92,25,27,456,131,226,133,133.0,114.0,2.0,5.0,1812,0,134,1946,,,,,1365,0,0,1365,2.0,,0.34381217668125746,0.1894,0.34381217668125746,0.2666060883406287
SVC,0.54,0.0242,0.5,,0.5,,0.6183,0.6057,0.6654,1.0985,0.435,0.4777686047883005,0.4491666666666666,0.4849481465034738,0.3795,0.2047,0.3425,0.4855243364826581,0.4517061885482938,0.4855243364826581,0.5048552932216299,"[[1812    0]
 [ 134 1946]]",[],"[[1365    0]
 [   0 1365]]","[[225 362]
 [148 211]]","[[ 82 165]
 [  3   4]]","[[225 362]
 [148 211]]","[[ 68 134]
 [ 17  35]]",fair_oversample,sample_4000_sep_2_flipped_0.9.csv,study_adult,2025-09-21T11:23:58.865564,4000,2.0,0.9,225,362,148,211,68,134,17,35,225,362,148,211,82.0,165.0,3.0,4.0,1812,0,134,1946,,,,,1365,0,0,1365,2.0,,-0.01631516116195786,0.059699999999999975,-0.01631516116195786,0.02169241941902106
LinearDiscriminantAnalysis,0.6869,0.1318,0.5,,0.5,,0.37,0.3943,0.2795,0.7089,0.6883333333333334,0.6623226009356449,0.7025,0.6793455635425051,0.3795,0.2047,0.3425,0.6581266341768968,0.7969924812030075,0.6581266341768968,0.7716108149276466,"[[1812    0]
 [ 134 1946]]",[],"[[1365    0]
 [   0 1365]]","[[426 161]
 [147 212]]","[[182  65]
 [  1   6]]","[[426 161]
 [147 212]]","[[168  34]
 [ 15  37]]",fair_oversample,sample_4000_sep_2_flipped_0.9.csv,study_adult,2025-09-21T11:23:58.946079,4000,2.0,0.9,426,161,147,212,168,34,15,37,426,161,147,212,182.0,65.0,1.0,6.0,1812,0,134,1946,,,,,1365,0,0,1365,2.0,,0.2666136092319936,-0.11479999999999996,0.2666136092319936,0.07590680461599683
GradientBoostingClassifier,0.6834,0.1341,0.5,,0.5,,0.3233,0.3742,0.1339,0.3577,0.7283333333333334,0.6880331800133663,0.7125,0.6741278343648525,0.3795,0.2047,0.3425,0.6720660741317213,0.6515326778484674,0.6720660741317213,0.6092916984006094,"[[1812    0]
 [ 134 1946]]",[],"[[1365    0]
 [   0 1365]]","[[444 143]
 [148 211]]","[[216  31]
 [  4   3]]","[[444 143]
 [148 211]]","[[184  18]
 [ 36  16]]",fair_oversample,sample_4000_sep_2_flipped_0.9.csv,study_adult,2025-09-21T11:24:00.010213,4000,2.0,0.9,444,143,148,211,184,18,36,16,444,143,148,211,216.0,31.0,4.0,3.0,1812,0,134,1946,,,,,1365,0,0,1365,2.0,,-0.1591723040191007,-0.24029999999999999,-0.1591723040191007,-0.19973615200955036
MLPClassifier,1.0,0.0,0.5,,0.5,,1.0,1.0,1.0,1.0,0.305,0.5,0.3425,0.5,0.3795,0.2047,0.3425,0.5,0.5,0.5,0.5,"[[1812    0]
 [ 134 1946]]",[],"[[1365    0]
 [   0 1365]]","[[  0 587]
 [  0 359]]","[[  0 247]
 [  0   7]]","[[  0 587]
 [  0 359]]","[[  0 202]
 [  0  52]]",fair_oversample,sample_4000_sep_2_flipped_0.9.csv,study_adult,2025-09-21T11:24:00.858250,4000,2.0,0.9,0,587,0,359,0,202,0,52,0,587,0,359,0.0,247.0,0.0,7.0,1812,0,134,1946,,,,,1365,0,0,1365,2.0,,0.0,0.0,0.0,0.0
KNeighborsClassifier,0.7562,0.1596,0.5,,0.5,,0.3525,0.3414,0.3937,1.1531,0.5858333333333333,0.5333864056295947,0.5816666666666667,0.5390820867216194,0.3795,0.2047,0.3425,0.5480869156705405,0.4444765760555234,0.5480869156705405,0.5184691546077684,"[[1812    0]
 [ 134 1946]]",[],"[[1365    0]
 [   0 1365]]","[[408 179]
 [215 144]]","[[149  98]
 [  5   2]]","[[408 179]
 [215 144]]","[[124  78]
 [ 30  22]]",fair_oversample,sample_4000_sep_2_flipped_0.9.csv,study_adult,2025-09-21T11:24:00.952785,4000,2.0,0.9,408,179,215,144,124,78,30,22,408,179,215,144,149.0,98.0,5.0,2.0,1812,0,134,1946,,,,,1365,0,0,1365,2.0,,-0.115399920413848,0.05230000000000001,-0.115399920413848,-0.031549960206923994
QuadraticDiscriminantAnalysis,0.9966,0.0287,0.5,,0.5,,0.9308,0.9556,0.8386,0.8775,0.3508333333333333,0.5222412234147108,0.385,0.5229940884238573,0.3795,0.2047,0.3425,0.5043514779365358,0.582995951417004,0.5043514779365358,0.5773038842345773,"[[1812    0]
 [ 134 1946]]",[],"[[1365    0]
 [   0 1365]]","[[ 28 559]
 [ 14 345]]","[[ 41 206]
 [  0   7]]","[[ 28 559]
 [ 14 345]]","[[ 39 163]
 [  2  50]]",fair_oversample,sample_4000_sep_2_flipped_0.9.csv,study_adult,2025-09-21T11:24:01.093058,4000,2.0,0.9,28,559,14,345,39,163,2,50,28,559,14,345,41.0,206.0,0.0,7.0,1812,0,134,1946,,,,,1365,0,0,1365,2.0,,0.03899721448467963,-0.11699999999999999,0.03899721448467963,-0.03900139275766018
GaussianNB,0.6854,0.1304,0.5,,0.5,,0.1792,0.1744,0.1969,1.1286,0.7008333333333333,0.5892892243582184,0.6866666666666666,0.5950339059883619,0.3795,0.2047,0.3425,0.5996213217673549,0.6925968768074031,0.5996213217673549,0.5938690022848438,"[[1812    0]
 [ 134 1946]]",[],"[[1365    0]
 [   0 1365]]","[[529  58]
 [252 107]]","[[201  46]
 [  3   4]]","[[529  58]
 [252 107]]","[[170  32]
 [ 34  18]]",fair_oversample,sample_4000_sep_2_flipped_0.9.csv,study_adult,2025-09-21T11:24:01.135088,4000,2.0,0.9,529,58,252,107,170,32,34,18,529,58,252,107,201.0,46.0,3.0,4.0,1812,0,134,1946,,,,,1365,0,0,1365,2.0,,0.2733784321528054,0.022499999999999992,0.2733784321528054,0.1479392160764027
XGBClassifier,0.8029999732971191,0.1595000028610229,0.5,,0.5,,0.3075,0.3742,0.0591,0.1578,0.7491666666666666,0.7053209891103511,0.7216666666666667,0.6787673577382439,0.3795,0.2047,0.3425,0.6855333526310545,0.4696356275303643,0.6855333526310545,0.5354150799695354,"[[1812    0]
 [ 134 1946]]",[],"[[1365    0]
 [   0 1365]]","[[450 137]
 [142 217]]","[[232  15]
 [  7   0]]","[[450 137]
 [142 217]]","[[193   9]
 [ 46   6]]",fair_oversample,sample_4000_sep_2_flipped_0.9.csv,study_adult,2025-09-21T11:24:01.455643,4000,2.0,0.9,450,137,142,217,193,9,46,6,450,137,142,217,232.0,15.0,7.0,0.0,1812,0,134,1946,,,,,1365,0,0,1365,2.0,,-0.6044568245125348,-0.3151,-0.6044568245125348,-0.45977841225626737
RandomForestClassifier,0.9464,0.0912,0.5,,0.5,,0.0842,0.1254,0.0292,0.2328,0.9658333333333332,0.8699074074074074,0.9658333333333332,0.8699074074074074,0.1385,0.0486,0.1,0.8915397631133672,0.7789775051124745,0.8915397631133672,0.7789775051124745,"[[2473    0]
 [   0 2473]]",[],"[[1338    0]
 [   0 1338]]","[[581  10]
 [ 19  76]]","[[488   1]
 [ 11  14]]","[[581  10]
 [ 19  76]]","[[488   1]
 [ 11  14]]",fair_oversample,sample_4000_sep_3_flipped_0.0.csv,study_adult,2025-09-21T11:24:01.695664,4000,3.0,0.0,581,10,19,76,488,1,11,14,581,10,19,76,488.0,1.0,11.0,14.0,2473,0,0,2473,,,,,1338,0,0,1338,3.0,,-0.24,-0.09620000000000001,-0.24,-0.1681
LogisticRegression,0.7588,0.1106,0.5,,0.5,,0.0892,0.1268,0.0389,0.3068,0.9541666666666668,0.8486111111111111,0.9541666666666668,0.8486111111111111,0.1385,0.0486,0.1,0.8784753762579036,0.7318200408997955,0.8784753762579036,0.7318200408997955,"[[2473    0]
 [   0 2473]]",[],"[[1338    0]
 [   0 1338]]","[[578  13]
 [ 21  74]]","[[481   8]
 [ 13  12]]","[[578  13]
 [ 21  74]]","[[481   8]
 [ 13  12]]",fair_oversample,sample_4000_sep_3_flipped_0.0.csv,study_adult,2025-09-21T11:24:01.806181,4000,3.0,0.0,578,13,21,74,481,8,13,12,578,13,21,74,481.0,8.0,13.0,12.0,2473,0,0,2473,,,,,1338,0,0,1338,3.0,,-0.29894736842105263,-0.0879,-0.29894736842105263,-0.1934236842105263
SVC,0.7374,0.062,0.5,,0.5,,0.0633,0.0948,0.0214,0.2259,0.9633333333333334,0.8166666666666667,0.9633333333333334,0.8166666666666667,0.1385,0.0486,0.1,0.8421052631578947,0.72,0.8421052631578947,0.72,"[[2473    0]
 [   0 2473]]",[],"[[1338    0]
 [   0 1338]]","[[591   0]
 [ 30  65]]","[[489   0]
 [ 14  11]]","[[591   0]
 [ 30  65]]","[[489   0]
 [ 14  11]]",fair_oversample,sample_4000_sep_3_flipped_0.0.csv,study_adult,2025-09-21T11:24:02.276104,4000,3.0,0.0,591,0,30,65,489,0,14,11,591,0,30,65,489.0,0.0,14.0,11.0,2473,0,0,2473,,,,,1338,0,0,1338,3.0,,-0.2442105263157895,-0.07339999999999999,-0.2442105263157895,-0.15880526315789473
LinearDiscriminantAnalysis,0.8574,0.1457,0.5,,0.5,,0.15,0.1968,0.0875,0.4449,0.9133333333333332,0.8703703703703703,0.9133333333333332,0.8703703703703703,0.1385,0.0486,0.1,0.8745213287024668,0.8323926380368099,0.8745213287024668,0.8323926380368099,"[[2473    0]
 [   0 2473]]",[],"[[1338    0]
 [   0 1338]]","[[536  55]
 [ 15  80]]","[[462  27]
 [  7  18]]","[[536  55]
 [ 15  80]]","[[462  27]
 [  7  18]]",fair_oversample,sample_4000_sep_3_flipped_0.0.csv,study_adult,2025-09-21T11:24:02.398014,4000,3.0,0.0,536,55,15,80,462,27,7,18,536,55,15,80,462.0,27.0,7.0,18.0,2473,0,0,2473,,,,,1338,0,0,1338,3.0,,-0.12210526315789472,-0.10930000000000001,-0.12210526315789472,-0.11570263157894736
GradientBoostingClassifier,0.8816,0.1188,0.5,,0.5,,0.1058,0.1531,0.0428,0.2796,0.9491666666666668,0.8717592592592593,0.9491666666666668,0.8717592592592593,0.1385,0.0486,0.1,0.8815744946121649,0.8138650306748466,0.8815744946121649,0.8138650306748466,"[[2473    0]
 [   0 2473]]",[],"[[1338    0]
 [   0 1338]]","[[563  28]
 [ 18  77]]","[[483   6]
 [  9  16]]","[[563  28]
 [ 18  77]]","[[483   6]
 [  9  16]]",fair_oversample,sample_4000_sep_3_flipped_0.0.csv,study_adult,2025-09-21T11:24:03.342264,4000,3.0,0.0,563,28,18,77,483,6,9,16,563,28,18,77,483.0,6.0,9.0,16.0,2473,0,0,2473,,,,,1338,0,0,1338,3.0,,-0.17052631578947364,-0.11030000000000001,-0.17052631578947364,-0.14041315789473682
MLPClassifier,1.0,0.0,0.5,,0.5,,0.0825,0.1181,0.035,0.2966,0.9608333333333332,0.8523148148148147,0.9608333333333332,0.8523148148148147,0.1385,0.0486,0.1,0.8835515183898833,0.7338650306748467,0.8835515183898833,0.7338650306748467,"[[2473    0]
 [   0 2473]]",[],"[[1338    0]
 [   0 1338]]","[[584   7]
 [ 21  74]]","[[483   6]
 [ 13  12]]","[[584   7]
 [ 21  74]]","[[483   6]
 [ 13  12]]",fair_oversample,sample_4000_sep_3_flipped_0.0.csv,study_adult,2025-09-21T11:24:04.414986,4000,3.0,0.0,584,7,21,74,483,6,13,12,584,7,21,74,483.0,6.0,13.0,12.0,2473,0,0,2473,,,,,1338,0,0,1338,3.0,,-0.29894736842105263,-0.0831,-0.29894736842105263,-0.19102368421052632
KNeighborsClassifier,0.955,0.1157,0.5,,0.5,,0.1658,0.191,0.1323,0.6928,0.8725,0.7921296296296296,0.8725,0.7921296296296296,0.1385,0.0486,0.1,0.8168136076231187,0.703762781186094,0.8168136076231187,0.703762781186094,"[[2473    0]
 [   0 2473]]",[],"[[1338    0]
 [   0 1338]]","[[530  61]
 [ 25  70]]","[[434  55]
 [ 12  13]]","[[530  61]
 [ 25  70]]","[[434  55]
 [ 12  13]]",fair_oversample,sample_4000_sep_3_flipped_0.0.csv,study_adult,2025-09-21T11:24:04.490507,4000,3.0,0.0,530,61,25,70,434,55,12,13,530,61,25,70,434.0,55.0,12.0,13.0,2473,0,0,2473,,,,,1338,0,0,1338,3.0,,-0.21684210526315784,-0.0587,-0.21684210526315784,-0.1377710526315789
QuadraticDiscriminantAnalysis,0.9656,0.0959,0.5,,0.5,,0.66,0.6122,0.7237,1.1821,0.4283333333333333,0.6564814814814814,0.4283333333333333,0.6564814814814814,0.1385,0.0486,0.1,0.7006055748508326,0.5821267893660531,0.7006055748508326,0.5821267893660531,"[[2473    0]
 [   0 2473]]",[],"[[1338    0]
 [   0 1338]]","[[262 329]
 [  4  91]]","[[139 350]
 [  3  22]]","[[262 329]
 [  4  91]]","[[139 350]
 [  3  22]]",fair_oversample,sample_4000_sep_3_flipped_0.0.csv,study_adult,2025-09-21T11:24:04.591024,4000,3.0,0.0,262,329,4,91,139,350,3,22,262,329,4,91,139.0,350.0,3.0,22.0,2473,0,0,2473,,,,,1338,0,0,1338,3.0,,-0.07789473684210524,0.11150000000000004,-0.07789473684210524,0.016802631578947402
GaussianNB,0.9937,0.0238,0.5,,0.5,,0.075,0.1079,0.0311,0.2886,0.9683333333333334,0.8564814814814815,0.9683333333333334,0.8564814814814815,0.1385,0.0486,0.1,0.8894736842105263,0.7359100204498977,0.8894736842105263,0.7359100204498977,"[[2473    0]
 [   0 2473]]",[],"[[1338    0]
 [   0 1338]]","[[591   0]
 [ 21  74]]","[[485   4]
 [ 13  12]]","[[591   0]
 [ 21  74]]","[[485   4]
 [ 13  12]]",fair_oversample,sample_4000_sep_3_flipped_0.0.csv,study_adult,2025-09-21T11:24:04.647036,4000,3.0,0.0,591,0,21,74,485,4,13,12,591,0,21,74,485.0,4.0,13.0,12.0,2473,0,0,2473,,,,,1338,0,0,1338,3.0,,-0.29894736842105263,-0.0768,-0.29894736842105263,-0.1878736842105263
XGBClassifier,0.971400022506714,0.0742999985814094,0.5,,0.5,,0.09,0.1356,0.0292,0.2153,0.9566666666666668,0.8574074074074074,0.9566666666666668,0.8574074074074074,0.1385,0.0486,0.1,0.8856175972927243,0.7369325153374233,0.8856175972927243,0.7369325153374233,"[[2473    0]
 [   0 2473]]",[],"[[1338    0]
 [   0 1338]]","[[574  17]
 [ 19  76]]","[[486   3]
 [ 13  12]]","[[574  17]
 [ 19  76]]","[[486   3]
 [ 13  12]]",fair_oversample,sample_4000_sep_3_flipped_0.0.csv,study_adult,2025-09-21T11:24:04.962601,4000,3.0,0.0,574,17,19,76,486,3,13,12,574,17,19,76,486.0,3.0,13.0,12.0,2473,0,0,2473,,,,,1338,0,0,1338,3.0,,-0.32000000000000006,-0.1064,-0.32000000000000006,-0.21320000000000003
RandomForestClassifier,0.9466,0.0952,0.5,,0.5,,0.0933,0.1312,0.0428,0.3262,0.9541666666666668,0.849176596599277,0.9541666666666668,0.849176596599277,0.1516,0.0564,0.1108,0.8703575204863865,0.769676501955208,0.8703575204863865,0.769676501955208,"[[2486    0]
 [   8 2494]]",[],"[[1347    0]
 [   0 1347]]","[[571  11]
 [ 25  79]]","[[479   6]
 [ 13  16]]","[[571  11]
 [ 25  79]]","[[479   6]
 [ 13  16]]",fair_oversample,sample_4000_sep_3_flipped_0.1.csv,study_adult,2025-09-21T11:24:05.183709,4000,3.0,0.1,571,11,25,79,479,6,13,16,571,11,25,79,479.0,6.0,13.0,16.0,2486,0,8,2494,,,,,1347,0,0,1347,3.0,,-0.2078912466843501,-0.0884,-0.2078912466843501,-0.14814562334217507
LogisticRegression,0.7425,0.1142,0.5,,0.5,,0.0958,0.1268,0.0545,0.4295,0.9483333333333334,0.8393147817998605,0.9483333333333334,0.8393147817998605,0.1516,0.0564,0.1108,0.8559344435633095,0.781763242090295,0.8559344435633095,0.781763242090295,"[[2486    0]
 [   8 2494]]",[],"[[1347    0]
 [   0 1347]]","[[571  11]
 [ 28  76]]","[[474  11]
 [ 12  17]]","[[571  11]
 [ 28  76]]","[[474  11]
 [ 12  17]]",fair_oversample,sample_4000_sep_3_flipped_0.1.csv,study_adult,2025-09-21T11:24:05.252711,4000,3.0,0.1,571,11,28,76,474,11,12,17,571,11,28,76,474.0,11.0,12.0,17.0,2486,0,8,2494,,,,,1347,0,0,1347,3.0,,-0.14456233421750664,-0.0723,-0.14456233421750664,-0.10843116710875332
